,Unnamed: 0,index,id,text,extended_tweet_full_text,unified_text,str_extended_tweet_full_text,str_text,polarity,subjectivity,text,polarity_confidence,subjectivity_confidence
0,4,0,9.284181604447107e+17,#MRT fault again https://t.co/OOIX1vNCHg,0,#MRT fault again https://t.co/OOIX1vNCHg,0,#MRT fault again https://t.co/OOIX1vNCHg,neutral,objective,#MRT fault again https://t.co/OOIX1vNCHg,0.9155489206314087,0.9999540501506892
1,7,0,9.166128227794207e+17,MRT breakdown on a rainy Saturday... #weekend #tgis @ City Hall MRT… https://t.co/62TpMUDdjF,0,MRT breakdown on a rainy Saturday... #weekend #tgis @ City Hall MRT… https://t.co/62TpMUDdjF,0,MRT breakdown on a rainy Saturday... #weekend #tgis @ City Hall MRT… https://t.co/62TpMUDdjF,neutral,subjective,MRT breakdown on a rainy Saturday... #weekend #tgis @ City Hall MRT… https://t.co/62TpMUDdjF,0.7761648297309875,0.9920817542462242
2,10,0,9.086841592033729e+17,Heard NSL signalling fault near TPY to Marina South Pier. #smrt (@ Jurong East MRT Interchange (NS1/EW24)) https://t.co/t28dXBu3dP,0,Heard NSL signalling fault near TPY to Marina South Pier. #smrt (@ Jurong East MRT Interchange (NS1/EW24)) https://t.co/t28dXBu3dP,0,Heard NSL signalling fault near TPY to Marina South Pier. #smrt (@ Jurong East MRT Interchange (NS1/EW24)) https://t.co/t28dXBu3dP,neutral,objective,Heard NSL signalling fault near TPY to Marina South Pier. #smrt (@ Jurong East MRT Interchange (NS1/EW24)) https://t.co/t28dXBu3dP,0.8488200902938843,0.9999898565225828
3,14,0,8.884104376786493e+17,Thankfully downtown line did not have a train fault just now. @ Tan Kah Kee MRT Station https://t.co/foXK6xq6EQ,0,Thankfully downtown line did not have a train fault just now. @ Tan Kah Kee MRT Station https://t.co/foXK6xq6EQ,0,Thankfully downtown line did not have a train fault just now. @ Tan Kah Kee MRT Station https://t.co/foXK6xq6EQ,neutral,subjective,Thankfully downtown line did not have a train fault just now. @ Tan Kah Kee MRT Station https://t.co/foXK6xq6EQ,0.8176012635231018,0.9869871096055848
4,15,0,8.852061561923706e+17,Power Fault. #nowork #teamdiscussion #smw4life @ Bishan MRT https://t.co/lonZvihwUN,0,Power Fault. #nowork #teamdiscussion #smw4life @ Bishan MRT https://t.co/lonZvihwUN,0,Power Fault. #nowork #teamdiscussion #smw4life @ Bishan MRT https://t.co/lonZvihwUN,neutral,objective,Power Fault. #nowork #teamdiscussion #smw4life @ Bishan MRT https://t.co/lonZvihwUN,0.8107606172561646,0.9990293358575625
5,18,0,8.805632637502341e+17,Previous delay now 15mins (@ Jurong East MRT Interchange (NS1/EW24) - @smrt_singapore in Singapore) https://t.co/chX3nCKb1g,0,Previous delay now 15mins (@ Jurong East MRT Interchange (NS1/EW24) - @smrt_singapore in Singapore) https://t.co/chX3nCKb1g,0,Previous delay now 15mins (@ Jurong East MRT Interchange (NS1/EW24) - @smrt_singapore in Singapore) https://t.co/chX3nCKb1g,neutral,objective,Previous delay now 15mins (@ Jurong East MRT Interchange (NS1/EW24) - @smrt_singapore in Singapore) https://t.co/chX3nCKb1g,0.9347315430641174,1.0
6,19,0,8.805522088816966e+17,Already have announcements of 10mins delay (@ Ang Mo Kio MRT Station (NS16) - @smrt_singapore in Singapore) https://t.co/TGZCKOhS2p,0,Already have announcements of 10mins delay (@ Ang Mo Kio MRT Station (NS16) - @smrt_singapore in Singapore) https://t.co/TGZCKOhS2p,0,Already have announcements of 10mins delay (@ Ang Mo Kio MRT Station (NS16) - @smrt_singapore in Singapore) https://t.co/TGZCKOhS2p,neutral,objective,Already have announcements of 10mins delay (@ Ang Mo Kio MRT Station (NS16) - @smrt_singapore in Singapore) https://t.co/TGZCKOhS2p,0.9591977000236511,0.9999999999999998
7,22,0,8.740790974749082e+17,"In Singapore, the MRT doesn't moves #mrt #breakdown #smrt #late #singapore… https://t.co/b9goSKzpJK",0,"In Singapore, the MRT doesn't moves #mrt #breakdown #smrt #late #singapore… https://t.co/b9goSKzpJK",0,"In Singapore, the MRT doesn't moves #mrt #breakdown #smrt #late #singapore… https://t.co/b9goSKzpJK",neutral,objective,"In Singapore, the MRT doesn't moves #mrt #breakdown #smrt #late #singapore… https://t.co/b9goSKzpJK",0.8663918972015381,1.0
8,26,0,8.69342167831126e+17,Train delay again. Alamak. (@ Choa Chu Kang MRT/LRT Interchange (NS4/BP1) - @smrt_singapore in Singapore) https://t.co/hJm1Av8sbw,0,Train delay again. Alamak. (@ Choa Chu Kang MRT/LRT Interchange (NS4/BP1) - @smrt_singapore in Singapore) https://t.co/hJm1Av8sbw,0,Train delay again. Alamak. (@ Choa Chu Kang MRT/LRT Interchange (NS4/BP1) - @smrt_singapore in Singapore) https://t.co/hJm1Av8sbw,neutral,objective,Train delay again. Alamak. (@ Choa Chu Kang MRT/LRT Interchange (NS4/BP1) - @smrt_singapore in Singapore) https://t.co/hJm1Av8sbw,0.9794254899024963,0.9999999999996549
9,34,0,8.54145193129513e+17,Train fault cb (@ Paya Lebar MRT Interchange (EW8/CC9) - @smrt_singapore in Singapore) https://t.co/EKVmnUQvoa,0,Train fault cb (@ Paya Lebar MRT Interchange (EW8/CC9) - @smrt_singapore in Singapore) https://t.co/EKVmnUQvoa,0,Train fault cb (@ Paya Lebar MRT Interchange (EW8/CC9) - @smrt_singapore in Singapore) https://t.co/EKVmnUQvoa,neutral,objective,Train fault cb (@ Paya Lebar MRT Interchange (EW8/CC9) - @smrt_singapore in Singapore) https://t.co/EKVmnUQvoa,0.9105410575866699,0.9999999999998059
10,46,0,8.218671865034793e+17,Mrt breakdown no my problem it's time to sleep😴😴😴😴😴😴😴😴😴😴😴😬😬😬😬😴 (@ Jason Tan's Residence) https://t.co/dprd1LIAPK,0,Mrt breakdown no my problem it's time to sleep😴😴😴😴😴😴😴😴😴😴😴😬😬😬😬😴 (@ Jason Tan's Residence) https://t.co/dprd1LIAPK,0,Mrt breakdown no my problem it's time to sleep😴😴😴😴😴😴😴😴😴😴😴😬😬😬😬😴 (@ Jason Tan's Residence) https://t.co/dprd1LIAPK,neutral,subjective,Mrt breakdown no my problem it's time to sleep😴😴😴😴😴😴😴😴😴😴😴😬😬😬😬😴 (@ Jason Tan's Residence) https://t.co/dprd1LIAPK,0.7316680550575256,1.0
11,54,0,9.37237986906968e+17,All aboard on the train to ORD 🚂 well at least this train doesn’t breakdown 🤷🏻‍♀️🤷🏼‍♂️ I think?… https://t.co/yfGj3YFhFg,0,All aboard on the train to ORD 🚂 well at least this train doesn’t breakdown 🤷🏻‍♀️🤷🏼‍♂️ I think?… https://t.co/yfGj3YFhFg,0,All aboard on the train to ORD 🚂 well at least this train doesn’t breakdown 🤷🏻‍♀️🤷🏼‍♂️ I think?… https://t.co/yfGj3YFhFg,positive,subjective,All aboard on the train to ORD 🚂 well at least this train doesn’t breakdown 🤷🏻‍♀️🤷🏼‍♂️ I think?… https://t.co/yfGj3YFhFg,0.4589987099170685,1.0
12,55,0,9.30600845162492e+17,Late for work today cos of train delay. #WhatsNewSMRT (@ Chubb Insurance Singapore Limited) https://t.co/aRVQuxMwyE,0,Late for work today cos of train delay. #WhatsNewSMRT (@ Chubb Insurance Singapore Limited) https://t.co/aRVQuxMwyE,0,Late for work today cos of train delay. #WhatsNewSMRT (@ Chubb Insurance Singapore Limited) https://t.co/aRVQuxMwyE,neutral,objective,Late for work today cos of train delay. #WhatsNewSMRT (@ Chubb Insurance Singapore Limited) https://t.co/aRVQuxMwyE,0.9302089810371399,0.9999999998837679
13,56,0,9.305930471081288e+17,Today is train fault tag team day?,0,Today is train fault tag team day?,0,Today is train fault tag team day?,negative,objective,Today is train fault tag team day?,0.7073113322257996,0.8720832455231036
14,57,0,9.305842944681738e+17,DID THE TRAIN JUST ANNOUNCE MY FIRST DELAY ON CIRCLE LINE?,0,DID THE TRAIN JUST ANNOUNCE MY FIRST DELAY ON CIRCLE LINE?,0,DID THE TRAIN JUST ANNOUNCE MY FIRST DELAY ON CIRCLE LINE?,negative,subjective,DID THE TRAIN JUST ANNOUNCE MY FIRST DELAY ON CIRCLE LINE?,0.5079978108406067,0.9999999999990128
15,58,0,9.226258295357562e+17,EW line train fault. Sienz.,0,EW line train fault. Sienz.,0,EW line train fault. Sienz.,negative,unknown,EW line train fault. Sienz.,0.6260337233543396,0.0
